cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,GHS_urban_area_id
0.68834805,0.023663754,0.0038200652,0.19273996,0.06927619,0.00062187307,0.021530071,33.0
0.02984937,0.01178215,0.041286565,0.063276775,0.017589571,0.0024649494,0.83375067,34.0
0.054069385,0.11518022,0.0015790515,0.016011486,0.807442,0.00033779148,0.0053800945,35.0
0.061758645,0.007296904,0.0025520679,0.89057827,0.015881456,0.00035627547,0.021576429,36.0
0.7252041,0.021784447,0.003406991,0.16513468,0.06497759,0.0005584629,0.018933706,37.0
0.82863915,0.021255925,0.0019488641,0.049977034,0.08875223,0.0003487803,0.009078078,38.0
0.04641076,0.0234661,0.570192,0.07552217,0.031787314,0.0105250785,0.24209668,39.0
0.6524271,0.022743342,0.0039331745,0.23292845,0.064687915,0.00063726027,0.022642745,40.0
0.6727632,0.022272786,0.0037710234,0.21505608,0.06400056,0.0006133537,0.021523025,41.0
0.056860927,0.027474077,0.3938116,0.09692142,0.037911903,0.0102988295,0.37672126,42.0
0.058231976,0.16718578,0.0018761342,0.01817465,0.74783975,0.00040509037,0.006286597,43.0
0.06206003,0.009845502,0.0046123555,0.854312,0.019780478,0.000600002,0.04878963,44.0
0.062017873,0.009533029,0.004311907,0.8600462,0.019323912,0.0005651701,0.044201896,45.0
0.017553817,0.90764433,0.0012564765,0.008055303,0.06163955,0.00030575477,0.003544721,46.0
0.68487096,0.039518677,0.002881098,0.06050422,0.19901624,0.0005297649,0.012679,47.0
0.022609351,0.014128233,0.8376079,0.030806592,0.017519904,0.019356348,0.057971645,48.0
0.05420096,0.064885065,0.0012836512,0.014347727,0.86046433,0.00026721263,0.004551091,49.0
0.12203665,0.060784966,0.0019253758,0.025439141,0.78218764,0.00038783113,0.007238407,50.0
0.061769407,0.38644502,0.0024751595,0.021593789,0.519209,0.0005489646,0.007958627,52.0
0.058428705,0.039850537,0.5308702,0.07455509,0.047565445,0.12961145,0.1191186,53.0
0.0025700172,0.0014683513,0.9805363,0.0037622722,0.0018915558,0.0011360006,0.008635563,54.0
0.022515351,0.85775465,0.0012873161,0.009341019,0.104967766,0.00030117025,0.0038326778,55.0
0.002532872,0.0014799177,0.98124045,0.0036397905,0.001888568,0.0012942582,0.007924124,56.0
0.01818367,0.90502924,0.0013152439,0.008380329,0.06307137,0.00032089936,0.0036992687,57.0
0.7316212,0.02065,0.0032615038,0.16452968,0.061338786,0.00053828687,0.018060476,58.0
0.06324592,0.044853594,0.38691095,0.07846819,0.052617155,0.25627294,0.11763132,59.0
0.017973082,0.9056974,0.0012917864,0.0082604885,0.06282174,0.00031431575,0.003641163,60.0
0.028953476,0.8587616,0.0023496924,0.014016868,0.0889135,0.00058564177,0.0064192098,61.0
0.017044611,0.90959156,0.00120521,0.0077787885,0.060677,0.00029256134,0.0034102674,62.0
0.0042789006,0.0025304523,0.9686101,0.006090082,0.003212758,0.0023783045,0.0128993485,63.0
