cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,GHS_urban_area_id
0.019527731,0.015711552,0.042384744,0.024431475,0.017257033,0.016171515,0.016896175,0.8042769,0.02452695,0.018815884,50.0
0.138723,0.034323614,0.016328413,0.49425146,0.056854952,0.039029084,0.056915026,0.0017633336,0.0010028981,0.16080822,52.0
0.052807186,0.03431299,0.56524587,0.0896264,0.040991627,0.0361675,0.03957579,0.076457255,0.01544688,0.049368583,53.0
0.6883911,0.023170877,0.005792911,0.061608713,0.06151498,0.030748101,0.03924513,0.0007756374,0.000445749,0.088306874,54.0
0.09461526,0.029529426,0.0042232703,0.03908045,0.052446857,0.033966176,0.06608633,0.00059456757,0.00036362815,0.6790941,55.0
0.6965123,0.023166448,0.006205932,0.062496115,0.06299723,0.03129856,0.037938055,0.00083129114,0.0004709955,0.07808303,56.0
0.021011187,0.013136683,0.0009350887,0.0063907397,0.02117263,0.014664837,0.040311024,0.0001461667,9.2316666e-05,0.8821393,57.0
0.0077813617,0.067923374,0.000507726,0.0020780868,0.0480917,0.81512475,0.047416274,0.00010086575,6.560514e-05,0.010910272,58.0
0.06252764,0.042771988,0.37381527,0.09681027,0.050160527,0.044880282,0.048448503,0.19628073,0.02568183,0.058622994,59.0
0.005000388,0.8642616,0.00045675534,0.0017579471,0.015629616,0.053823642,0.049807917,9.3766816e-05,6.395109e-05,0.009104447,60.0
0.005004193,0.8638313,0.00045752112,0.0017584468,0.015704878,0.05481086,0.04920492,9.3999144e-05,6.4061176e-05,0.00906989,61.0
0.0051139686,0.8640999,0.0004745825,0.0018148083,0.01581643,0.05431208,0.04893708,9.776029e-05,6.675857e-05,0.009266684,62.0
0.11398173,0.021847447,0.017964056,0.68075985,0.039628174,0.026053939,0.03243558,0.0017165805,0.0009039258,0.06470876,63.0
0.019565102,0.006020616,0.0068896175,0.923535,0.0092638135,0.006762724,0.00887669,0.000561461,0.0002970695,0.018227957,64.0
0.41929904,0.039911903,0.017754367,0.20659566,0.089142025,0.050953235,0.06026425,0.0021566127,0.001179498,0.11274342,65.0
