cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,GHS_urban_area_id
0.09104081,0.043088786,0.016796509,0.044654988,0.067412406,0.0003370911,0.10447001,0.27686167,0.10804701,0.051479284,0.06714752,0.049994275,0.07866966,27
0.09890263,0.04200316,0.015053578,0.04282614,0.06223939,0.00030962305,0.11837719,0.27482584,0.10164696,0.05241783,0.06540497,0.049674116,0.07631852,28
0.635951,0.022128358,0.0024190913,0.01928525,0.005305009,5.9405786e-05,0.05532229,0.038191225,0.02977532,0.07450451,0.040910207,0.044249345,0.031899035,29
0.07019544,0.037069384,0.008718731,0.03876336,0.028031932,0.00020078852,0.059428275,0.4746074,0.067955546,0.038254797,0.056962293,0.041056357,0.07875577,30
0.088071905,0.04128223,0.025572881,0.041443896,0.18548428,0.00047899474,0.13427518,0.15837346,0.0998547,0.053014103,0.059223294,0.048065998,0.06485905,31
0.034342177,0.020155577,0.0029881832,0.021948138,0.00790311,7.393715e-05,0.021489603,0.7349954,0.028313294,0.018331585,0.032913864,0.021891277,0.054653898,32
0.06616161,0.035573065,0.007441038,0.03637299,0.023482123,0.00017549693,0.052959315,0.5145767,0.059397243,0.035890914,0.052931502,0.039129473,0.07590855,33
0.028667113,0.018664557,0.0024510112,0.020404998,0.006220911,6.183752e-05,0.01689042,0.76376176,0.0234794,0.015869772,0.029928917,0.019797977,0.053801257,34
0.049919467,0.042689603,0.0031726176,0.048202198,0.0070735086,8.594551e-05,0.022266584,0.46916497,0.032409344,0.029216995,0.06788453,0.043313526,0.18460074,35
0.20344655,0.06984045,0.0034806284,0.059286922,0.0073135467,9.4234565e-05,0.039362703,0.10835731,0.040870532,0.089913085,0.115955226,0.12313656,0.13894226,36
0.08761463,0.047868975,0.020261431,0.04842082,0.09632708,0.0004322222,0.10149724,0.24638581,0.09713741,0.053085912,0.06668142,0.052714515,0.08157252,37
0.03759053,0.030137023,0.0020873188,0.053167325,0.0031709014,5.2585885e-05,0.012830379,0.030295003,0.03486918,0.036522735,0.6269162,0.058635633,0.073725194,38
0.102980725,0.037966494,0.020195255,0.03941525,0.075896904,0.0003329627,0.15814303,0.17172968,0.1566459,0.057045456,0.06625352,0.04888765,0.06450718,39
0.105824575,0.03449586,0.011215669,0.03855151,0.026666086,0.00020017901,0.099617824,0.20135875,0.2299143,0.054219257,0.07992628,0.04816941,0.06984029,40
0.101499334,0.033810325,0.0065645655,0.044692058,0.009503617,0.00013034284,0.04743769,0.06053526,0.310477,0.07782856,0.17968294,0.06433088,0.06350754,41
0.09611225,0.03122226,0.024254376,0.030402767,0.13164915,0.00039632543,0.3284694,0.07790767,0.09158091,0.056090627,0.04731565,0.04140495,0.043193653,42
0.0356742,0.020194428,0.0031006006,0.021712888,0.008227667,7.510916e-05,0.022614133,0.72990006,0.030606315,0.0190357,0.033446908,0.022379912,0.05303204,43
0.64419645,0.020360922,0.0025049832,0.017787335,0.0055423826,6.1010593e-05,0.06750709,0.034303706,0.029321192,0.073594056,0.036627594,0.039973915,0.028219335,44
0.0840631,0.029383758,0.009007015,0.037050515,0.011172707,0.00015914878,0.053798173,0.04627444,0.4435303,0.07519154,0.11018732,0.05379226,0.046389695,45
0.05069622,0.048197806,0.0033396122,0.057659015,0.0071886717,9.1459595e-05,0.022304278,0.37403238,0.03407154,0.030933833,0.07912563,0.047756758,0.2446028,46
0.08750378,0.046546184,0.022865972,0.047360856,0.1188154,0.00046501454,0.108149625,0.21738592,0.101828516,0.053493634,0.06591573,0.051974494,0.07769476,47
0.052618045,0.009397116,0.003716057,0.008789052,0.009855367,7.371436e-05,0.80508375,0.018099919,0.025037164,0.02532317,0.0152185215,0.014600516,0.01218761,48
0.07244574,0.04287954,0.004887743,0.065411285,0.007735346,0.0001105333,0.029815204,0.09045605,0.12017605,0.05526045,0.31954452,0.07019867,0.1210789,49
0.065072045,0.03872167,0.034619685,0.03897828,0.34921294,0.00067477213,0.08907325,0.11141914,0.07802409,0.044897713,0.050613746,0.04244637,0.05624629,50
0.049678665,0.05386552,0.003302119,0.06585932,0.006960223,9.2384114e-05,0.021422395,0.28775433,0.03269827,0.031526938,0.08401174,0.05109025,0.31173778,52
0.088728085,0.032870848,0.0317236,0.031474605,0.21130592,0.0005282104,0.26356155,0.06995421,0.08131486,0.057278495,0.0461957,0.042485833,0.042578015,53
0.1186059,0.015327178,0.004450798,0.013950802,0.010758102,9.4667535e-05,0.6541131,0.02707093,0.03615209,0.049403124,0.025114296,0.025528096,0.019430973,54
0.033668343,0.058142375,0.0023067591,0.15753256,0.0035099373,6.511023e-05,0.012310378,0.033355232,0.026559772,0.03632722,0.40632996,0.084309556,0.14558274,55
0.053897895,0.010715866,0.004675783,0.00999422,0.013152655,9.089287e-05,0.7835221,0.020957444,0.028603302,0.02738653,0.016917255,0.016264345,0.013821578,56
0.01492955,0.08707181,0.0012916647,0.6561652,0.0020291007,4.346292e-05,0.0061150603,0.016460273,0.009757273,0.017068425,0.0539494,0.047862537,0.087256305,57
0.067485906,0.04910957,0.0027037638,0.066357434,0.004072077,7.079681e-05,0.018943675,0.030129036,0.038649965,0.100317836,0.39032307,0.16341004,0.068426855,58
0.018328609,0.009760982,0.014974326,0.00945376,0.8268899,0.0002702112,0.032160614,0.01950119,0.019192697,0.013435924,0.012351975,0.0113439225,0.012335779,59
