cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,GHS_urban_area_id
0.059925642,0.0053995717,9.910336e-05,0.011441991,0.023112675,0.0017728045,0.89778906,0.00045918507,137.0
0.071094595,0.4712798,0.00082730106,0.28464895,0.074356444,0.05560686,0.03661184,0.0055741374,138.0
0.05744646,0.040045194,0.00024214404,0.03903361,0.8190099,0.0062015513,0.03674713,0.0012739836,139.0
0.05732698,0.019893922,0.00017671543,0.025508184,0.84772784,0.003981562,0.044494834,0.0008899339,140.0
0.013274837,0.9176338,0.00016334004,0.031168818,0.020314286,0.00894331,0.0074423137,0.0010593345,141.0
0.04446862,0.20774549,0.0021566534,0.08254936,0.052398324,0.5603703,0.030697547,0.019613676,142.0
0.04653244,0.019897921,0.00016503353,0.023507543,0.8703211,0.0038008043,0.034936737,0.0008384227,143.0
0.09903308,0.21873567,0.0013205229,0.44640753,0.080578975,0.09295603,0.051836632,0.009131539,144.0
0.02898456,0.040703494,0.04409484,0.03576153,0.029524198,0.07278297,0.025244221,0.72290415,145.0
0.06463017,0.006858845,0.00013508183,0.014079635,0.02748123,0.0023307037,0.8838665,0.0006177694,146.0
0.12692106,0.0082211625,0.00013702242,0.018748255,0.0364853,0.0025893082,0.8062507,0.0006471663,147.0
0.050995696,0.15933327,0.0018973262,0.11668176,0.050269715,0.5711048,0.032929853,0.016787538,148.0
0.03325736,0.07182435,0.0040128496,0.053606316,0.03406577,0.71423656,0.02500913,0.06398768,149.0
0.03229333,0.04516887,0.054207236,0.039642397,0.032972652,0.07921253,0.028213521,0.6882894,150.0
0.1120004,0.23088807,0.000667642,0.13050728,0.4380968,0.021190291,0.06289778,0.0037517773,151.0
0.0151608065,0.018662723,0.83324295,0.017244501,0.015355986,0.02562549,0.0138898445,0.06081767,152.0
0.08996352,0.097482175,0.2922038,0.09455054,0.09049077,0.108852655,0.0868789,0.1395776,153.0
0.044395555,0.022906028,0.00017351327,0.025155196,0.87053937,0.00412031,0.031818807,0.0008912328,154.0
0.078313515,0.086257,0.36481735,0.08317225,0.078822,0.09877076,0.0750891,0.134758,155.0
0.026809642,0.03338484,0.6898502,0.030727074,0.027162274,0.046865262,0.024444645,0.12075604,156.0
0.031724703,0.0689906,0.003659973,0.05165845,0.03248653,0.73118573,0.023759112,0.056534953,157.0
0.0022653763,0.0035229628,0.0014047081,0.002955097,0.0023245944,0.007885845,0.0019084204,0.97773296,158.0
0.038531378,0.034082122,0.00016682106,0.87983763,0.02506177,0.006931378,0.014382511,0.0010063425,159.0
0.042059883,0.015173705,0.00011433349,0.020004727,0.89278454,0.002756598,0.026518224,0.0005879551,160.0
0.07190392,0.0058343024,0.00010411286,0.012728111,0.025288718,0.0018961641,0.881759,0.00048565696,161.0
0.1120791,0.14330643,0.00052209233,0.11381839,0.551562,0.015755521,0.060071718,0.0028846264,162.0
0.10424651,0.15241902,0.000577641,0.102205224,0.559121,0.016964355,0.06129349,0.0031727322,163.0
0.094884135,0.44188598,0.0006524685,0.16598448,0.2184455,0.024842823,0.049449977,0.0038546734,164.0
0.012100247,0.014903011,0.86828905,0.013734234,0.012289542,0.020304453,0.011102313,0.047277194,165.0
