n_clusters,ensemble_size,perm_id,ari_vs_prev
4,16,2,0.9052887315349527
4,17,2,0.9060003147880724
4,18,2,0.9095005427147662
4,19,2,0.9558771075547836
4,20,2,0.9246797763450499
4,21,2,0.9320298052300444
4,22,2,0.9261371978960588
4,23,2,0.9466772488994096
4,24,2,0.9614131291864555
4,25,2,0.9461168545833234
4,26,2,0.9527778254089388
4,27,2,0.9349353465639625
4,28,2,0.9467018405748839
4,29,2,0.9476766156196499
4,30,2,0.9561025832044124
4,1,3,1.0
4,2,3,1.0
4,3,3,0.8438495107673988
4,4,3,0.5713685390708472
4,5,3,0.822775884144977
4,6,3,0.8497622295327187
4,7,3,0.8764507850089244
4,8,3,0.8638090505605727
4,9,3,0.8950145930589467
4,10,3,0.9282337801934395
4,11,3,0.9208461901015402
4,12,3,0.921357611813876
4,13,3,0.8965968355983072
4,14,3,0.9163223892463732
4,15,3,0.9223500275285731
4,16,3,0.9112964605719595
4,17,3,0.9295526169197017
4,18,3,0.9501859106349599
4,19,3,0.9305800215871508
4,20,3,0.9421665131027248
4,21,3,0.9486197462176547
4,22,3,0.9484759531994158
4,23,3,0.9661746934241778
4,24,3,0.9572432712831047
4,25,3,0.9650091148329017
4,26,3,0.9563429285573358
4,27,3,0.9601055836950046
4,28,3,0.9593291825926703
4,29,3,0.9586122215921062
4,30,3,0.9566474359641041
4,1,4,1.0
4,2,4,1.0
4,3,4,0.8533641521814974
4,4,4,0.707204434401051
4,5,4,0.762530675080891
4,6,4,0.8040078889562297
4,7,4,0.8801908743753002
4,8,4,0.89197742138769
4,9,4,0.8297857108314003
4,10,4,0.8598543638064108
4,11,4,0.8652397277905424
4,12,4,0.8944135221136694
4,13,4,0.9107627846527881
4,14,4,0.9328259055536767
4,15,4,0.9076126329570842
4,16,4,0.886349347970907
4,17,4,0.933680871178765
4,18,4,0.9522596859921684
4,19,4,0.942636210232774
4,20,4,0.9627119495148265
4,21,4,0.9475761228963341
4,22,4,0.9413831028960209
4,23,4,0.9396547830833635
4,24,4,0.9470775973880912
4,25,4,0.9354442009596972
4,26,4,0.9551752067004406
4,27,4,0.9517440702468554
4,28,4,0.9613057519832202
4,29,4,0.9545180605985076
4,30,4,0.9638227809954608
4,1,5,1.0
4,2,5,1.0
4,3,5,0.8097244720179444
4,4,5,0.7277848532527672
4,5,5,0.7271916168467342
4,6,5,0.8046331972423817
4,7,5,0.7812121851189069
4,8,5,0.7968873416560353
4,9,5,0.822803624148438
4,10,5,0.8722826956600968
4,11,5,0.7988780509443864
4,12,5,0.8334155699654547
4,13,5,0.8552623946700516
4,14,5,0.9212731513852992
4,15,5,0.8793597536567386
4,16,5,0.8632205746935779
4,17,5,0.9077695453192562
4,18,5,0.9161291441958518
4,19,5,0.9313173034815968
4,20,5,0.9382691890032666
4,21,5,0.927504011071799
4,22,5,0.9509345700339308
4,23,5,0.9586309347350864
4,24,5,0.943081967760429
4,25,5,0.9592014387035416
4,26,5,0.9580513647359891
4,27,5,0.9438031203087741
4,28,5,0.9606138615441682
4,29,5,0.9583043997676156
4,30,5,0.9434751221370647
4,1,6,1.0
4,2,6,1.0
4,3,6,0.7662697093500617
4,4,6,0.8289467195375866
4,5,6,0.8443523966345877
4,6,6,0.9066110228802552
4,7,6,0.9120660009108708
4,8,6,0.9185837872712982
4,9,6,0.8750998117193485
4,10,6,0.8908662487499739
4,11,6,0.9145371687890264
4,12,6,0.8996814041384046
4,13,6,0.9227096513468155
4,14,6,0.9518714846426413
4,15,6,0.8847087132320322
4,16,6,0.9068617079440388
4,17,6,0.9368027795235542
4,18,6,0.9185017008475754
4,19,6,0.9380797533288511
4,20,6,0.9332590668095326
4,21,6,0.9496156319854665
4,22,6,0.9493145917855661
4,23,6,0.9604059424598577
4,24,6,0.9446934256987488
4,25,6,0.9660188817940922
4,26,6,0.9737485672358601
4,27,6,0.9613673032826021
4,28,6,0.9551062679753772
