cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,GHS_urban_area_id
0.049636293,0.00044341487,0.0155084375,0.9344119,38.0
0.087967895,0.6149487,0.1857616,0.11132185,39.0
0.14639182,0.14909038,0.49595237,0.20856543,40.0
0.047727857,0.0005596342,0.022657614,0.9290549,41.0
0.9455154,0.000375598,0.0069507714,0.047158215,42.0
0.14069387,0.1062572,0.54729867,0.20575027,43.0
0.87832385,0.0006685503,0.013333518,0.10767409,44.0
0.026146406,0.0033223997,0.91291153,0.057619683,45.0
0.034356195,0.0054112193,0.8931684,0.06706422,46.0
0.064315304,0.72819984,0.12764977,0.079835065,47.0
0.9348966,0.0006690989,0.010832642,0.053601693,48.0
0.14515573,0.25302655,0.4044192,0.19739851,49.0
0.047284506,0.80486363,0.08985605,0.0579958,50.0
0.0132162245,0.0015651338,0.95647115,0.02874749,52.0
0.95276964,0.00041034614,0.007041056,0.03977898,53.0
0.9586468,0.00031787262,0.0057358313,0.03529954,54.0
0.11652937,0.0517692,0.64691263,0.18478878,55.0
0.95830256,0.0003250507,0.0058659934,0.03550634,56.0
0.02823506,0.004171464,0.9105423,0.0570512,57.0
0.5484631,0.001267678,0.030530605,0.4197386,58.0
0.95244217,0.00041379046,0.0070503494,0.040093727,59.0
0.05093024,0.00079294736,0.03512966,0.9131471,60.0
0.10049916,0.002669286,0.1728969,0.72393465,61.0
0.062553056,0.0010645015,0.051775448,0.88460696,62.0
0.95619315,0.00037324964,0.0064967405,0.036936857,63.0
0.0971788,0.032162238,0.70984983,0.16080914,64.0
0.924524,0.0008214421,0.0129915625,0.061663035,65.0
0.9453519,0.00051649363,0.00864072,0.045490846,66.0
0.9583422,0.00034908572,0.006076248,0.035232436,67.0
0.77995276,0.0009307336,0.020021113,0.1990954,68.0
0.9544815,0.0003429153,0.0061485046,0.039027072,69.0
0.91217375,0.0005228814,0.010418626,0.07688471,70.0
0.12503713,0.06445736,0.6174488,0.19305673,71.0
0.95877045,0.0003341776,0.005910457,0.034984924,72.0
0.944327,0.0005269412,0.008780354,0.046365738,73.0
0.9572005,0.00032782243,0.005925012,0.036546648,74.0
0.956964,0.00035967276,0.0063064573,0.03636991,75.0
0.03194806,0.8717414,0.05767956,0.038630992,76.0
0.05333365,0.0029402757,0.7730286,0.17069748,77.0
0.14640076,0.1462542,0.49898884,0.20835623,78.0
0.95873,0.00033915593,0.0059845233,0.034946315,79.0
0.95948684,0.00032012875,0.0057203704,0.034472667,80.0
0.9304547,0.00043144685,0.008328715,0.06078509,81.0
0.9581421,0.00034568418,0.0060743317,0.0354379,82.0
0.9564425,0.00032840171,0.006008489,0.037220612,83.0
0.14579305,0.1392845,0.5052834,0.20963907,84.0
0.08511157,0.001856856,0.10593036,0.8071012,85.0
0.041180417,0.0005737432,0.02351975,0.93472606,86.0
0.9551365,0.00039680267,0.0067890584,0.037677698,87.0
0.95727617,0.0003514927,0.006126258,0.036246046,88.0
0.9572499,0.0003642898,0.0063083298,0.036077514,89.0
0.08566266,0.00068192324,0.023456741,0.8901987,90.0
0.9268984,0.00045467215,0.008830591,0.06381627,91.0
0.06380744,0.00341462,0.71650153,0.21627636,92.0
0.95822257,0.00034981835,0.0061160373,0.03531155,93.0
0.9549846,0.00038677617,0.0066131586,0.038015455,94.0
0.9510373,0.00036462932,0.0067595085,0.0418386,95.0
0.015612326,0.0011864475,0.9418242,0.04137704,96.0
0.9593617,0.00033110983,0.0058424044,0.03446481,97.0
0.9574175,0.00032093492,0.005805069,0.03645651,98.0
0.9540162,0.00040878178,0.006970274,0.038604796,99.0
0.60758877,0.0012226357,0.028946059,0.36224255,100.0
0.95158213,0.000341569,0.0062950095,0.041781295,101.0
0.95805097,0.00032937614,0.005915997,0.035703644,102.0
0.94790703,0.00035481955,0.0066532088,0.045084905,103.0
0.95749295,0.00033531696,0.0060353135,0.036136422,104.0
0.9542536,0.0004021189,0.0068461783,0.03849814,105.0
0.9587111,0.00033663074,0.005901137,0.035051104,106.0
0.95565516,0.00037479994,0.006448599,0.037521403,107.0
0.95830137,0.00035211304,0.0061181346,0.03522841,108.0
0.958647,0.0003288449,0.0058560227,0.035168145,109.0
0.8938201,0.0005943044,0.012020503,0.09356519,110.0
0.03473897,0.00041248876,0.015655005,0.94919354,111.0
0.95817214,0.00034986806,0.006102607,0.035375357,112.0
0.043158717,0.0005362213,0.022013778,0.9342913,113.0
0.923182,0.00048161217,0.009118304,0.06721808,114.0
0.33917296,0.0012339853,0.03270114,0.6268919,115.0
0.9536459,0.000414779,0.0070165293,0.038922783,116.0
0.23596634,0.0010687226,0.029386617,0.73357826,117.0
0.072963394,0.0037622945,0.66604114,0.25723314,118.0
0.87833947,0.00063649483,0.013049085,0.10797495,119.0
0.020177297,0.92241496,0.03356899,0.023838807,120.0
0.097892374,0.03268628,0.70694184,0.16247946,121.0
0.63259786,0.0012523157,0.027871849,0.338278,122.0
0.95930886,0.00032457136,0.0057517225,0.03461482,123.0
0.09641867,0.031652525,0.71153545,0.16039339,124.0
0.063995995,0.7303398,0.12618795,0.0794762,125.0
0.012357805,0.0013834933,0.95844966,0.027808987,126.0
0.31556284,0.0012032575,0.032137234,0.6510966,127.0
0.9494846,0.00035099965,0.0065024206,0.04366193,128.0
0.07834235,0.0007189049,0.026542155,0.8943966,129.0
0.9510554,0.0003530326,0.0064193965,0.042172164,130.0
0.8325538,0.0007835313,0.016505478,0.15015721,131.0
0.053856768,0.0029995984,0.7704079,0.17273569,133.0
0.160996,0.0009623215,0.030052142,0.8079895,134.0
0.009426376,0.0009853644,0.96787566,0.021712506,135.0
0.9400043,0.00039653885,0.0075345812,0.05206454,136.0
0.09191096,0.002199727,0.12099183,0.7848975,137.0
0.06269735,0.0006752377,0.02676937,0.9098581,138.0
0.95801806,0.00032024228,0.005797618,0.035864044,139.0
0.94768494,0.00049771596,0.00826465,0.043552723,140.0
0.95440173,0.0003961407,0.0068821604,0.03831995,141.0
0.95044804,0.00034140184,0.0063942056,0.042816352,142.0
0.95791304,0.00035820768,0.0062032687,0.035525452,143.0
0.090820044,0.027765257,0.72701526,0.15439942,144.0
0.13886204,0.09967209,0.5558186,0.2056473,145.0
0.07106242,0.0013008532,0.06649346,0.86114323,146.0
0.043894567,0.0006323931,0.026727494,0.9287456,147.0
0.080529496,0.021674605,0.75815123,0.13964473,148.0
0.06974167,0.00065939216,0.024401743,0.9051972,149.0
0.13600296,0.09025857,0.57049817,0.2032403,150.0
0.9535476,0.00041705964,0.007113199,0.038922135,151.0
0.045277257,0.007752808,0.85740775,0.08956219,152.0
0.13293312,0.36082757,0.3293664,0.17687288,153.0
0.9579428,0.00034250473,0.006036519,0.035678163,154.0
0.048375443,0.0029834376,0.79747844,0.15116262,155.0
0.0454878,0.008029689,0.85872924,0.087753296,156.0
0.50322384,0.0013078457,0.03131553,0.4641528,157.0
0.007962757,0.00077026547,0.97279346,0.018473577,158.0
0.11443109,0.0007264183,0.02169446,0.86314803,159.0
0.954979,0.00039352808,0.0067100567,0.037917398,160.0
0.040782075,0.000539177,0.0222455,0.93643326,161.0
0.9562166,0.00036556547,0.006320831,0.037097,162.0
0.95401925,0.00041186827,0.0070016813,0.03856715,163.0
0.95634747,0.0003358416,0.006103014,0.037213653,164.0
0.03228788,0.8711558,0.057703998,0.038852308,165.0
0.025301771,0.90340346,0.041507587,0.029787198,166.0
0.011192915,0.00087481627,0.9592986,0.0286336,167.0
0.9512707,0.000431526,0.0072763097,0.041021414,168.0
0.021852933,0.0029780238,0.93025464,0.044914354,169.0
0.025366401,0.0017799669,0.90230227,0.07055133,170.0
0.09051512,0.0016513546,0.09075169,0.81708187,171.0
0.099673346,0.034291174,0.7008166,0.1652189,172.0
0.056970444,0.011631348,0.82605755,0.105340675,173.0
0.061408278,0.0007275419,0.030215574,0.9076486,174.0
0.28351182,0.0011880179,0.033201426,0.6820987,175.0
0.096289724,0.03141414,0.7108404,0.16145572,176.0
0.06213463,0.77568954,0.09145337,0.07072247,177.0
0.022436555,0.91036123,0.04006182,0.027140412,178.0
0.62900424,0.001210218,0.0284361,0.34134945,179.0
0.9394151,0.00060811517,0.009913849,0.050062884,180.0
0.9549596,0.00036388062,0.0064368504,0.03823965,181.0
0.098612756,0.000709645,0.02269533,0.8779822,182.0
0.015768189,0.0013983052,0.94358027,0.03925325,183.0
0.9571912,0.00036311132,0.0063371193,0.036108464,184.0
0.04978707,0.009379759,0.8479069,0.09292627,185.0
0.14712062,0.22032014,0.4303713,0.20218794,186.0
0.95546985,0.00038391823,0.0065915487,0.03755469,187.0
0.023264078,0.90972537,0.03940703,0.027603447,189.0
0.053349715,0.0007462431,0.032825906,0.9130781,190.0
0.110324636,0.04431149,0.6671418,0.17822206,191.0
0.08461987,0.0017173421,0.09815157,0.8155112,192.0
0.888116,0.00059999485,0.012125766,0.09915825,193.0
0.9559441,0.0003789202,0.0065022265,0.03717477,194.0
0.95032495,0.00044816989,0.0075835595,0.041643236,195.0
0.04788578,0.008880075,0.8529938,0.09024033,196.0
0.011978867,0.00094867166,0.95613074,0.030941768,197.0
0.14366563,0.12307432,0.5254271,0.20783298,198.0
0.031221159,0.0020580234,0.8760314,0.090689436,199.0
0.0074550556,0.0007542211,0.97468317,0.01710751,200.0
0.044986755,0.000598979,0.02544161,0.9289727,201.0
0.045434803,0.00041110447,0.014062926,0.94009113,202.0
0.017342964,0.0013956961,0.9367528,0.044508535,203.0
0.026187714,0.0037425992,0.9168333,0.0532364,204.0
0.13859862,0.00083145767,0.02550557,0.83506435,205.0
