GHS_urban_area_id,most_probable_cluster,assignment_probability,uncertainty_score,similarity
179,2,1.0,0.0,0.3455054
180,2,1.0,0.0,0.34100345
181,2,1.0,0.0,0.27952054
182,2,1.0,0.0,0.36977488
183,2,1.0,0.0,0.43039334
184,2,1.0,0.0,0.2758174
185,0,1.0,0.0,0.3762268
186,1,1.0,0.0,0.6194759
187,2,1.0,0.0,0.2414278
189,0,1.0,0.0,0.60442966
190,1,1.0,0.0,0.48151165
191,1,1.0,0.0,0.7181563
192,1,1.0,0.0,0.4388021
193,2,1.0,0.0,0.3389731
194,1,1.0,0.0,0.54633194
195,2,1.0,0.0,0.23692401
196,0,1.0,0.0,0.30966905
197,0,1.0,0.0,0.31047323
198,0,1.0,0.0,0.4246562
199,0,1.0,0.0,0.33541498
200,0,1.0,0.0,0.37852624
201,0,1.0,0.0,0.41780508
202,0,1.0,0.0,0.38238654
203,2,1.0,0.0,0.48576304
204,0,1.0,0.0,0.5365044
205,0,1.0,0.0,0.34174713
206,0,1.0,0.0,0.3872244
207,1,1.0,0.0,0.7049709
208,0,1.0,0.0,0.3674552
209,0,1.0,0.0,0.49597389
210,2,1.0,0.0,0.3084871
211,0,1.0,0.0,0.36806074
212,2,1.0,0.0,0.3171589
213,1,1.0,0.0,0.50735575
214,2,1.0,0.0,0.31275102
215,0,1.0,0.0,0.35046795
216,1,1.0,0.0,0.48249927
217,1,1.0,0.0,0.5135765
218,1,1.0,0.0,0.46913964
219,1,1.0,0.0,0.46553847
220,0,1.0,0.0,0.36547303
221,1,1.0,0.0,0.7012724
222,1,1.0,0.0,0.5577189
223,2,1.0,0.0,0.35912693
224,0,1.0,0.0,0.3709565
225,0,1.0,0.0,0.36661413
226,1,1.0,0.0,0.56143314
227,0,1.0,0.0,0.50746316
228,0,1.0,0.0,0.5532969
229,0,1.0,0.0,0.4019863
230,1,1.0,0.0,0.64321846
231,2,1.0,0.0,0.30070814
232,0,1.0,0.0,0.35614184
233,2,1.0,0.0,0.33011487
234,0,1.0,0.0,0.35955986
235,2,1.0,0.0,0.25866595
