cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,GHS_urban_area_id
0.023207784,0.055297136,0.039391384,0.042621396,0.018641995,0.0025496448,0.01778815,0.80020785,0.00029466063,46.0
0.03742226,0.04902633,0.05138312,0.046924382,0.64341515,0.031247687,0.05722585,0.07832869,0.005026544,47.0
0.012487093,0.01611299,0.045827817,0.019981258,0.012017841,0.006964133,0.86458635,0.021593824,0.00042875667,48.0
0.018077232,0.05255736,0.025020858,0.034568142,0.007953641,0.001325368,0.0091331955,0.8512059,0.00015833181,49.0
0.061775427,0.07663046,0.08030512,0.074309126,0.42594752,0.066124395,0.09061311,0.110004194,0.014290684,50.0
0.055232864,0.09825936,0.09679283,0.08879658,0.21099846,0.0126235075,0.07103545,0.3647882,0.0014727849,52.0
0.056007326,0.06937478,0.1242864,0.07373415,0.0755811,0.10074677,0.40741435,0.089395404,0.0034596187,53.0
0.0058128536,0.0075763906,0.024932943,0.009813953,0.005013232,0.002573613,0.93391573,0.010188654,0.00017256064,54.0
0.039202772,0.13925037,0.046406806,0.075261176,0.011310328,0.0021636686,0.014962542,0.67118335,0.00025894563,55.0
0.004623185,0.006103147,0.020603003,0.0078742625,0.003935509,0.0019510174,0.9464738,0.008304397,0.00013174025,56.0
0.014047877,0.037303284,0.022567065,0.027064623,0.007932634,0.0012378251,0.008834073,0.8808682,0.0001443721,57.0
0.8381037,0.07181671,0.017791517,0.04468315,0.0032494948,0.0012130139,0.0061198007,0.01686017,0.00016244216,58.0
0.05942599,0.07101711,0.11270347,0.07379769,0.08457891,0.23270889,0.27295333,0.0876543,0.005160352,59.0
0.8665152,0.062048387,0.013631152,0.03710093,0.00233412,0.00084622175,0.0044508385,0.012961067,0.00011205825,60.0
0.85908645,0.06379246,0.014667225,0.04042859,0.002494482,0.0009053064,0.0047741155,0.013731153,0.000120252575,61.0
0.86451554,0.065786846,0.013492042,0.034976758,0.0024074588,0.0008778857,0.0045169652,0.01331028,0.000116237614,62.0
0.006304325,0.008267066,0.02594161,0.010507616,0.0057654525,0.0029718934,0.92875206,0.011295463,0.00019455566,63.0
0.034588017,0.0751125,0.06169555,0.062983334,0.038932513,0.004545162,0.031210186,0.69040525,0.0005274997,64.0
