cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,GHS_urban_area_id
0.004894704,0.7584722,0.10299455,0.00044339156,0.13319512,29
0.0048147053,0.36913815,0.060703274,0.0004427016,0.5649012,30
0.008253036,0.508247,0.26554283,0.00068242487,0.2172747,31
0.003966633,0.1853369,0.04386464,0.0003644576,0.7664674,32
0.0047967643,0.50352174,0.07798853,0.00042531994,0.4132676,33
0.004553167,0.16802007,0.044752773,0.00042504753,0.782249,34
0.005306481,0.44259167,0.095217265,0.0004573938,0.4564272,35
0.0071156793,0.7407892,0.07729043,0.00074631453,0.1740584,36
0.0035753853,0.17376396,0.042558853,0.00032267015,0.77977914,37
0.004627181,0.4827905,0.07741706,0.00041353804,0.43475175,38
0.7618731,0.05908739,0.108195335,0.008206868,0.06263728,39
0.17298426,0.15827408,0.49144784,0.005797301,0.17149645,40
0.00951928,0.34005788,0.429304,0.00073844637,0.2203804,41
0.0073489435,0.6049655,0.21538167,0.0006356554,0.17166814,42
0.01938105,0.20219947,0.3441763,0.0013232153,0.43291992,43
0.0036692815,0.837655,0.05610075,0.00035558396,0.10221938,44
0.27225128,0.15362497,0.40837222,0.007585373,0.15816617,45
0.0035091708,0.10329473,0.037185956,0.00031277735,0.85569733,46
0.18833871,0.1652333,0.43978563,0.0061458047,0.20049651,47
0.46289188,0.12565695,0.27151343,0.010961759,0.128976,48
0.22235687,0.16548921,0.39719853,0.0068486147,0.2081068,49
0.16918387,0.1656681,0.45740533,0.005865072,0.20187761,50
0.0048656804,0.32272288,0.054375757,0.00046278044,0.61757296,52
0.2969183,0.15182345,0.38852555,0.008763525,0.15396921,53
0.0061419434,0.049023613,0.9041262,0.00040403527,0.040304232,54
0.025046064,0.18754399,0.46345976,0.001570142,0.32238004,55
0.0051569086,0.057949048,0.89284456,0.0003569986,0.043692462,56
0.0033340584,0.10160051,0.038924333,0.00029037846,0.8558507,57
0.0032086922,0.77647144,0.052535754,0.00029884724,0.16748525,58
0.6547193,0.08590127,0.1595954,0.012004064,0.087780066,59
0.008551179,0.13453437,0.08026436,0.000715414,0.77593464,60
0.021990644,0.18619922,0.16138844,0.0017238017,0.6286979,61
0.0035458596,0.101690754,0.03755509,0.00031455263,0.8568937,62
0.025432274,0.0956047,0.7881259,0.0014104856,0.089426614,63
0.0061665764,0.12598392,0.07252927,0.00050869264,0.7948116,64
0.040987868,0.11645494,0.7288128,0.002118127,0.111626334,65
0.3944756,0.1378187,0.31682116,0.010222975,0.14066155,66
0.0804566,0.14316295,0.6309112,0.0036615452,0.14180776,67
0.6547205,0.08750383,0.13093819,0.037370462,0.08946704,68
0.53155446,0.111994006,0.2310859,0.011082666,0.11428303,69
0.379375,0.14035459,0.3262771,0.010129096,0.1438642,70
0.012165188,0.22569758,0.27145767,0.00090160896,0.48977798,71
0.09139988,0.14749734,0.6103938,0.004057578,0.14665139,72
0.47610867,0.1231621,0.2638049,0.010993419,0.12593096,73
0.0031214147,0.84120786,0.04557919,0.0003036264,0.1097879,74
0.53808314,0.11064582,0.2265053,0.011279609,0.11348614,75
0.774559,0.055406485,0.10475044,0.006318755,0.05896533,76
0.004427844,0.21275294,0.04698924,0.00041543477,0.7354145,77
0.004497085,0.10596854,0.04670692,0.00039283963,0.8424346,78
0.08855399,0.14624998,0.61561346,0.0039369958,0.1456456,79
0.021607356,0.088577904,0.8054203,0.0012223703,0.08317207,80
0.0032143374,0.84461516,0.04656604,0.00031356871,0.10529092,81
0.12707098,0.15575513,0.5565852,0.0051588174,0.15542991,82
0.0066332864,0.090879366,0.83714175,0.0004713465,0.06487423,83
0.80455333,0.049616627,0.084745154,0.009494005,0.051590886,84
0.0037566675,0.2133631,0.047928344,0.00033817292,0.7346137,85
0.0049155327,0.11655805,0.059582308,0.00041148218,0.81853265,86
0.008305053,0.058353204,0.8837846,0.0005234689,0.049033694,87
0.01910012,0.08388439,0.81873643,0.0010924604,0.077186555,88
0.26128238,0.1556276,0.41766512,0.008177746,0.15724714,89
0.023113307,0.093006544,0.79572046,0.0012811709,0.0868786,90
0.008849662,0.4598865,0.34434894,0.00073224213,0.18618262,91
0.010993034,0.15229468,0.1103161,0.00087768346,0.7255185,92
0.12877254,0.15642926,0.5516402,0.0052861585,0.15787184,93
0.03250642,0.10618881,0.75712425,0.0017353271,0.10244515,94
0.019183293,0.083994664,0.8190185,0.0011165214,0.07668699,95
0.0043636635,0.40685108,0.06048465,0.00040159439,0.527899,96
0.0093941465,0.36183077,0.45560217,0.000754684,0.17241819,97
0.006728984,0.1042933,0.8163422,0.00048666415,0.07214885,98
0.48993272,0.11999717,0.2560284,0.010811717,0.123229906,99
0.00766823,0.055468813,0.8910054,0.000493022,0.045364548,100
0.0054011177,0.73912036,0.11671233,0.00048704428,0.1382791,101
0.05143058,0.12621924,0.6956558,0.002570327,0.12412398,102
0.0053835167,0.06853221,0.8740804,0.00037945135,0.051624432,103
0.0069936886,0.051930115,0.8963455,0.00044557688,0.044285122,104
0.108020805,0.1518215,0.5838251,0.0045494298,0.15178315,105
0.0049936455,0.048323475,0.906901,0.00033535817,0.03944655,106
0.0076543405,0.15153375,0.7421029,0.0005711348,0.09813776,107
0.008571477,0.5272032,0.2851452,0.0007227874,0.1783574,108
0.50101,0.11769585,0.24997716,0.0106873335,0.12062964,109
