cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,cluster_13_prob,GHS_urban_area_id
0.06618703,0.04178087,0.005296957,0.1677771,4.0276627e-05,0.01867118,0.38772705,0.109282315,0.032161783,0.00093778025,0.099562585,0.0034359728,0.038561247,0.028577836,38
0.038125973,0.024694737,0.0130071025,0.12526985,9.071775e-05,0.014669761,0.053340968,0.060200617,0.5579318,0.0023436847,0.03095021,0.01506463,0.04685814,0.017451787,39
0.07578057,0.021834452,0.005901441,0.50290686,3.6956175e-05,0.0115955025,0.1754819,0.05042988,0.033922046,0.0009286436,0.04608821,0.0035762053,0.054408185,0.0171092,40
0.05187379,0.051323216,0.007922089,0.20759584,6.535663e-05,0.023178978,0.14239989,0.24951059,0.11532992,0.0015003037,0.0698436,0.006557015,0.043427397,0.029472025,41
0.051489204,0.042388346,0.033461936,0.100133255,0.00031696283,0.028677545,0.06310819,0.07843511,0.35325903,0.00806,0.045828793,0.10015317,0.063435845,0.03125267,42
0.18329678,0.025180884,0.006713873,0.220762,4.0717696e-05,0.014178785,0.31353343,0.043271936,0.024027953,0.0010259645,0.068297215,0.0034853886,0.07303941,0.023145715,43
0.021156183,0.021224098,0.008061056,0.053129777,7.7123834e-05,0.012512727,0.032053314,0.053098094,0.7251195,0.0017819774,0.02210747,0.012364343,0.023650566,0.013663836,44
0.0970011,0.06237582,0.0063568056,0.04912677,5.1400257e-05,0.04027772,0.17026646,0.046904407,0.016181754,0.0011523693,0.367649,0.0032148517,0.04038416,0.09905739,45
0.5244891,0.02155005,0.00637144,0.07989659,3.8761285e-05,0.01377557,0.1606928,0.027385402,0.01492913,0.0009777419,0.064829186,0.0028969764,0.057126064,0.025041193,46
0.21440394,0.02400199,0.030920712,0.09066997,9.864567e-05,0.017921565,0.080726095,0.030581791,0.02740461,0.0030032631,0.047956254,0.008032088,0.39722177,0.02705732,47
0.03788223,0.06158429,0.0075892406,0.105855085,7.287562e-05,0.026808232,0.09083192,0.39249587,0.14218074,0.0015820251,0.061721068,0.0072108367,0.033714063,0.030471547,48
0.108642355,0.029195415,0.048065934,0.18794581,0.00014473847,0.019861143,0.08647797,0.04890131,0.08219647,0.004641336,0.04692508,0.019731637,0.29100507,0.026265722,49
0.21901824,0.024264002,0.03247916,0.09470837,0.00010198204,0.018072357,0.081575386,0.031209935,0.028525872,0.0031271938,0.048028424,0.008417847,0.38327888,0.027192334,50
0.06881587,0.044456284,0.00410437,0.068472214,3.2707903e-05,0.020353235,0.44492412,0.0622644,0.016715122,0.00074352673,0.20042886,0.0024169292,0.02849475,0.03777766,52
0.034301702,0.025492469,0.037828334,0.053138614,0.00036928037,0.018988002,0.03683002,0.039412722,0.09738521,0.011058148,0.028239934,0.5524398,0.043781076,0.020734755,53
0.03180921,0.06260791,0.0061066765,0.08074821,6.0462735e-05,0.025484791,0.08045671,0.4999972,0.090990245,0.0012900998,0.058879074,0.005636882,0.027236998,0.02869549,54
0.15584323,0.022827804,0.012368559,0.2552888,5.7433466e-05,0.014135317,0.13119268,0.039138913,0.034883216,0.0015746282,0.048621982,0.0055819196,0.25751656,0.0209689,55
0.015897157,0.014796247,0.005828925,0.04302452,5.1370098e-05,0.008636139,0.024311818,0.038149774,0.7957821,0.0012177103,0.01608122,0.008210485,0.018402617,0.009609873,56
0.08987599,0.02898057,0.005201699,0.21370824,3.604937e-05,0.014496859,0.4146609,0.06108437,0.025898999,0.00086938887,0.07553325,0.0031065852,0.0434713,0.023075825,57
0.030472467,0.15803403,0.0042877477,0.047952536,4.4252218e-05,0.039599173,0.098330915,0.39116505,0.027391806,0.00091105537,0.1284772,0.0032483821,0.02061667,0.04946868,58
0.02070196,0.015833573,0.030681185,0.027079225,0.0004787931,0.01275815,0.021008544,0.021460652,0.037793748,0.016144093,0.017282782,0.73974913,0.025305009,0.013723158,59
0.068753235,0.018735304,0.008289053,0.5922581,4.6896097e-05,0.010771908,0.08922945,0.04165081,0.051907375,0.001243201,0.033246446,0.0052736336,0.06354676,0.015047866,60
0.09483318,0.031433545,0.027491156,0.29947263,0.00013041153,0.019865373,0.09476876,0.062308002,0.14505157,0.0037918952,0.047808558,0.019294804,0.12782545,0.025924658,61
0.08331808,0.023792366,0.0057942336,0.4492549,3.7721227e-05,0.012448564,0.21365763,0.054519597,0.03264839,0.00093639764,0.051896345,0.0035446205,0.049419083,0.01873216,62
0.027165832,0.022962296,0.011976947,0.06733682,0.00010250293,0.014135355,0.037809957,0.052131947,0.67014146,0.002517517,0.025371289,0.019727748,0.032876547,0.015743736,63
0.13897724,0.02557311,0.0063632703,0.25163966,3.943508e-05,0.013970803,0.32931492,0.047261436,0.025571309,0.0009863898,0.0673338,0.003439669,0.06717065,0.022358425,64
0.033919632,0.02770501,0.016245177,0.080608115,0.00013721784,0.017411202,0.045534387,0.060020547,0.5941402,0.0034278631,0.030792072,0.028907854,0.041752864,0.01939791,65
0.037284866,0.02776942,0.017839337,0.091829896,0.00013791786,0.017477097,0.048892997,0.059923787,0.56673867,0.0035577803,0.032032255,0.02948739,0.047200732,0.01982784,66
0.023221796,0.019558012,0.00964331,0.06000155,8.154695e-05,0.011869437,0.032947928,0.045906227,0.71694833,0.0019976846,0.021768164,0.014919231,0.027839517,0.01329738,67
