cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,GHS_urban_area_id
0.47820494,0.06114323,0.0007166585,0.032867033,0.2381168,6.031532e-05,0.0032624004,0.051654827,0.07294644,0.021777919,0.035243187,0.004006172,29
0.20380259,0.0948436,0.000714355,0.038848847,0.38526228,6.118201e-05,0.0031319105,0.077337645,0.1252958,0.018307274,0.04825869,0.0041358103,30
0.04599612,0.012112932,0.0012767566,0.027564114,0.018836327,8.237791e-05,0.009332264,0.012432923,0.017603328,0.8366592,0.009762452,0.008341152,31
0.019604946,0.45297536,0.00036851075,0.010932492,0.07744085,3.603012e-05,0.0013549189,0.12603192,0.042597212,0.0051247743,0.26170564,0.001827299,32
0.058369257,0.03349513,0.00253825,0.60419035,0.040866274,0.00017647451,0.014055296,0.043061737,0.08000408,0.060296685,0.030055055,0.032891437,33
0.026415523,0.13067147,0.00041497193,0.022102287,0.07315122,3.806348e-05,0.0016389692,0.410432,0.21445538,0.006722449,0.111535996,0.0024216338,34
0.06467488,0.04127962,0.008864552,0.1793082,0.04784553,0.00051071314,0.057192508,0.04871056,0.070907764,0.10523067,0.038340133,0.33713493,35
0.046502102,0.21061455,0.0004276353,0.014511999,0.5293628,3.952961e-05,0.0016916705,0.07177956,0.052302603,0.0077762604,0.06281273,0.0021784895,36
0.029525196,0.017574454,0.0009040401,0.80580986,0.0215792,6.64363e-05,0.0046264925,0.023106653,0.050033033,0.02173508,0.0153189,0.009720672,37
0.030505436,0.02115554,0.0007506916,0.76720136,0.02516503,5.80947e-05,0.0035986444,0.030288598,0.07908032,0.016609294,0.01859552,0.0069914954,38
0.012022684,0.009281344,0.83494544,0.013274603,0.0101998625,0.001410527,0.047302254,0.009729654,0.010786035,0.017318545,0.008955244,0.02477382,39
0.044984397,0.032486826,0.11215045,0.057218965,0.036365647,0.0020703382,0.33766052,0.034950275,0.041016903,0.07391216,0.031027798,0.19615577,40
0.09728381,0.044856023,0.0055844677,0.2841961,0.05827361,0.0003458801,0.040535994,0.0535014,0.085502245,0.21129102,0.039716795,0.07891261,41
0.07327997,0.029462323,0.0068633594,0.06354417,0.04051588,0.00037365366,0.07748702,0.030851616,0.04041538,0.5697014,0.025356874,0.042148326,42
0.01873854,0.0123812985,0.005117974,0.036597412,0.014192038,0.00024646753,0.037164588,0.014056579,0.018818656,0.03334167,0.011588373,0.7977565,43
0.17482439,0.09202104,0.00070458086,0.023905499,0.5280225,6.20499e-05,0.0029801654,0.05448268,0.059109725,0.016682114,0.043588515,0.0036166776,44
0.047512367,0.03559991,0.17740488,0.060164377,0.03931787,0.0027541916,0.25507337,0.03815723,0.04426966,0.07340627,0.0341794,0.19216047,45
0.020860894,0.01304457,0.0005552141,0.8557466,0.01590139,4.1898173e-05,0.0027667081,0.018139385,0.042841513,0.013114358,0.011498498,0.005488883,46
0.05051071,0.03915177,0.17678891,0.06566928,0.042651065,0.003236471,0.20152737,0.04201146,0.04862097,0.07408995,0.037772186,0.2179698,47
0.04395592,0.03152379,0.239025,0.04842658,0.035595298,0.0027498126,0.3299018,0.033281896,0.03768126,0.071331285,0.030101852,0.09642555,48
0.049603704,0.03876437,0.22643831,0.063177995,0.042136688,0.0035982959,0.18807511,0.041380476,0.0475685,0.07169261,0.03739544,0.1901685,49
0.047522664,0.035342403,0.084298946,0.06498205,0.039040312,0.002055792,0.23100778,0.038275,0.045431733,0.07448057,0.033853386,0.30370933,50
0.025741713,0.04281388,0.0003842028,0.037731554,0.041753314,3.3374898e-05,0.0016160985,0.091912754,0.7120747,0.00713912,0.036238916,0.0025602716,52
0.017413165,0.013337439,0.7607865,0.018993877,0.014710371,0.0019623516,0.070646584,0.013957876,0.01546478,0.025304474,0.012846608,0.034576047,53
0.23883371,0.038766254,0.0024361927,0.07766959,0.06798375,0.00017193808,0.015074705,0.03953002,0.05774724,0.4167114,0.029933777,0.015141365,54
0.012417339,0.008594294,0.00542675,0.02140437,0.00970012,0.0002306818,0.03566575,0.009602219,0.012335472,0.021224514,0.008110654,0.8552878,55
0.11693514,0.024869144,0.0020583116,0.049966954,0.04103007,0.00013962327,0.01368657,0.02515964,0.03549384,0.658472,0.01960624,0.012582493,56
0.060298767,0.046411034,0.0011139468,0.43239182,0.055413727,8.946618e-05,0.0051528243,0.07252402,0.2526938,0.024597475,0.040199984,0.0091132065,57
0.38308394,0.072005965,0.00080413977,0.04670826,0.24132374,6.723163e-05,0.0036757477,0.06683843,0.11473372,0.024097688,0.041910477,0.004750658,58
0.04541237,0.038293455,0.46396887,0.048196577,0.040795855,0.019445999,0.09680843,0.03950535,0.042230207,0.056922372,0.037395883,0.07102469,59
0.012434899,0.1051954,0.00031711205,0.0089519,0.033704184,3.1690313e-05,0.0011374212,0.13332433,0.032709766,0.003929825,0.6666919,0.0015714868,60
0.012635159,0.107210256,0.00032327857,0.009049222,0.03428703,3.2344004e-05,0.0011581051,0.13136451,0.032801013,0.0039963564,0.6655451,0.0015975964,61
0.011987072,0.101788476,0.00030531542,0.008779851,0.03237956,3.0450872e-05,0.0010966207,0.13703011,0.0326558,0.0037914373,0.6686319,0.0015233435,62
