cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,GHS_urban_area_id
0.8772442,0.014167643,0.06238083,0.0450768,0.0010834596,4.7023845e-05,184.0
0.02539044,0.9194948,0.01561399,0.034665417,0.0047222017,0.0001132079,185.0
0.061845295,0.09603398,0.05718642,0.070395924,0.7055857,0.008952605,186.0
0.034824364,0.0723851,0.030601071,0.042394854,0.8181114,0.0016831585,187.0
0.12382259,0.15166682,0.119843006,0.13259478,0.29452232,0.17755045,189.0
0.1252015,0.15985058,0.12103272,0.13671464,0.36297974,0.094220825,190.0
0.06578496,0.15588571,0.055280283,0.07925755,0.64151835,0.0022730972,191.0
0.112710096,0.560414,0.08357488,0.14421174,0.09770739,0.0013819578,192.0
0.12594509,0.15769935,0.12203766,0.13659169,0.3308035,0.12692271,193.0
0.8854437,0.014180456,0.057574388,0.041669343,0.001085081,4.697566e-05,194.0
0.026541764,0.053295463,0.023407167,0.03194369,0.8634033,0.0014085842,195.0
0.04713936,0.83303136,0.028556526,0.08642884,0.004711478,0.00013251265,196.0
0.052461095,0.033262003,0.045497514,0.86702615,0.0016892804,6.3968124e-05,197.0
0.08864184,0.22877657,0.072770916,0.10684617,0.5004276,0.0025369292,198.0
0.04232563,0.023282101,0.04538263,0.88754225,0.0014120796,5.534605e-05,199.0
0.051377445,0.8349304,0.032893416,0.066881366,0.013621849,0.00029544323,200.0
0.8861593,0.014015493,0.0576119,0.041088346,0.0010781763,4.681382e-05,201.0
0.7283802,0.02354384,0.14077501,0.105483964,0.0017415591,7.543491e-05,202.0
0.02866345,0.032068975,0.02827958,0.029936677,0.04456688,0.83648443,203.0
0.017096916,0.9421843,0.01069781,0.027441092,0.0025152757,6.451499e-05,204.0
0.10603901,0.5442601,0.06787178,0.2734849,0.008098143,0.00024604474,205.0
0.04812672,0.020768467,0.04939436,0.88039505,0.0012650595,5.031325e-05,206.0
0.03459867,0.89260274,0.020273078,0.04719196,0.0052019907,0.00013157792,207.0
0.041339893,0.02252468,0.041577406,0.89319897,0.0013081369,5.0978953e-05,208.0
0.058668606,0.009052529,0.8891501,0.042038735,0.0010379103,5.211043e-05,209.0
0.097514525,0.24672462,0.08409701,0.12495185,0.4437855,0.0029264658,210.0
0.089107715,0.12965211,0.083964035,0.100639425,0.57750326,0.019133423,211.0
0.06797226,0.073457055,0.067411706,0.07015659,0.091560066,0.6294423,212.0
0.12288065,0.15991132,0.118629076,0.1352104,0.3915533,0.071815245,213.0
0.12595144,0.15682133,0.12254453,0.13693681,0.31941536,0.13833061,214.0
0.08047186,0.6910462,0.049588703,0.17187488,0.0068182237,0.00020018729,215.0
0.08016906,0.1189747,0.07496792,0.09047844,0.6204242,0.014985661,216.0
0.09904758,0.14055912,0.0940861,0.111599475,0.5293701,0.02533762,217.0
0.03551508,0.88965046,0.021494534,0.046430696,0.006749025,0.00016028213,218.0
0.15276851,0.04758952,0.118674695,0.6782013,0.0026606077,0.00010540123,219.0
0.05769638,0.008519037,0.89108825,0.04170597,0.00094365724,4.6772162e-05,220.0
0.08004563,0.19998412,0.06618791,0.09641978,0.55489194,0.0024705606,221.0
0.11906461,0.45411265,0.09349277,0.15440008,0.17696583,0.0019640944,222.0
0.08042262,0.20150778,0.067273796,0.09875615,0.54951525,0.0025243987,223.0
0.04307194,0.0257695,0.042290673,0.8873613,0.0014506696,5.597239e-05,224.0
0.0551299,0.038542904,0.047939796,0.85638964,0.0019253264,7.237207e-05,225.0
0.8611856,0.021609327,0.061238166,0.054359406,0.0015423051,6.51873e-05,226.0
0.11106628,0.57856613,0.081086,0.14049852,0.08749726,0.0012857503,227.0
0.062334325,0.7950606,0.04097294,0.08163666,0.019590782,0.00040470163,228.0
0.07531153,0.0256258,0.0878551,0.80943775,0.0017004107,6.945336e-05,229.0
0.8764818,0.01774559,0.05699873,0.047421943,0.0012966696,5.530649e-05,230.0
0.036131065,0.04085406,0.03564154,0.037946966,0.058723822,0.7907025,231.0
0.13906282,0.22588965,0.088147126,0.5404808,0.006209829,0.00020973795,232.0
0.13741478,0.14216089,0.13695875,0.13936767,0.1559882,0.28810975,233.0
0.04593746,0.02193695,0.051998988,0.8786695,0.0014011795,5.5885183e-05,234.0
0.10615367,0.30415645,0.08793416,0.13495107,0.36419934,0.00260523,235.0
0.06793111,0.770141,0.046187375,0.090806685,0.02445081,0.00048303543,236.0
0.041890774,0.02286815,0.04102777,0.8928543,0.0013081362,5.0866995e-05,237.0
0.8866138,0.014367222,0.056119233,0.041765574,0.0010872589,4.6943886e-05,238.0
0.05685486,0.008677824,0.8921035,0.0413357,0.0009792702,4.8829355e-05,239.0
0.059739888,0.008982866,0.8832418,0.047018994,0.0009690299,4.7453825e-05,240.0
0.058626864,0.009820645,0.8839072,0.04645566,0.0011328474,5.6809928e-05,241.0
0.048445527,0.07866516,0.044645473,0.056198124,0.7663976,0.0056481557,242.0
0.04203493,0.023275571,0.04084704,0.89247173,0.0013195112,5.1174084e-05,243.0
0.024952715,0.027716288,0.024676515,0.026038254,0.0376001,0.8590161,244.0
0.10980357,0.13073123,0.10747479,0.1173867,0.2250041,0.30959964,245.0
0.071477376,0.109268636,0.066831455,0.08200352,0.6590852,0.011333815,246.0
0.12615377,0.15844513,0.12240386,0.13722123,0.3354056,0.12037044,247.0
0.118899785,0.45479003,0.093569666,0.15506354,0.17571242,0.0019645423,248.0
0.124265015,0.15992741,0.1200198,0.13615105,0.37539732,0.084239416,249.0
0.8861195,0.014148664,0.057049543,0.041554518,0.0010808185,4.6864334e-05,250.0
0.8796785,0.01367777,0.06296496,0.042566206,0.0010660598,4.6527955e-05,251.0
